                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2252,                 1.4367,                 1.2009,                0.61773,                0.54469,                 0.5299,                0.28796,                 1.4135,                  1.989,                 1.4722,               0.070127,              0.0033193,              0.0033193
                      2,                 1.2022,                  1.067,                 1.2002,                0.79099,                 0.7148,                0.76935,                0.46062,                 1.2136,                 1.8339,                 1.3045,               0.039995,              0.0065209,              0.0065209
                      3,                 1.1546,                0.97666,                 1.1861,                 0.8135,                 0.7805,                0.84359,                0.54328,                 1.1233,                0.96965,                 1.2692,              0.0097311,              0.0095905,              0.0095905
                      4,                 1.1146,                0.89793,                 1.1613,                0.85585,                0.76899,                0.87853,                0.57375,                 1.0615,                0.76517,                 1.2092,               0.009406,               0.009406,               0.009406
                      5,                 1.0925,                0.85944,                  1.156,                0.87157,                0.82872,                0.90879,                0.59624,                 1.0231,                0.72211,                 1.1812,               0.009208,               0.009208,               0.009208
                      6,                 1.0685,                 0.8019,                 1.1393,                0.90121,                0.83288,                0.90287,                0.62707,                0.96006,                0.64901,                  1.124,                0.00901,                0.00901,                0.00901
                      7,                 1.0453,                0.77534,                  1.132,                0.90699,                0.81013,                0.90174,                0.60974,                 1.0017,                0.66083,                 1.1588,               0.008812,               0.008812,               0.008812
                      8,                 1.0505,                0.76566,                 1.1312,                 0.8224,                0.83661,                0.87394,                0.57869,                 1.0261,                0.73235,                 1.1816,               0.008614,               0.008614,               0.008614
                      9,                 1.0316,                0.74294,                 1.1175,                 0.9238,                  0.873,                0.93615,                0.65326,                0.92716,                0.56764,                 1.1102,               0.008416,               0.008416,               0.008416
                     10,                 1.0221,                0.72166,                 1.1085,                0.90902,                0.81073,                0.91014,                0.63718,                0.94379,                0.63191,                  1.133,               0.008218,               0.008218,               0.008218
                     11,                 1.0062,                0.70456,                 1.0991,                0.92625,                0.82251,                0.90924,                0.62682,                0.94665,                 0.6209,                 1.1248,                0.00802,                0.00802,                0.00802
                     12,                 0.9953,                0.69677,                 1.0954,                0.92931,                0.86109,                0.92802,                0.65531,                0.92585,                0.55182,                 1.1225,               0.007822,               0.007822,               0.007822
                     13,                0.99439,                0.68007,                 1.0913,                0.92268,                0.86689,                0.93442,                0.65636,                 0.9163,                 0.5409,                 1.0982,               0.007624,               0.007624,               0.007624
                     14,                0.97869,                0.66664,                 1.0856,                0.87625,                 0.8845,                0.93667,                0.65359,                0.95121,                0.55115,                   1.13,               0.007426,               0.007426,               0.007426
                     15,                0.98388,                0.65661,                  1.084,                0.91228,                0.87921,                0.93779,                0.65728,                0.89315,                0.52291,                 1.0799,               0.007228,               0.007228,               0.007228
                     16,                0.97904,                 0.6568,                 1.0871,                0.90158,                0.89465,                 0.9369,                0.66533,                0.89024,                0.51364,                 1.0854,                0.00703,                0.00703,                0.00703
                     17,                0.96535,                0.64201,                 1.0807,                 0.9256,                0.80305,                0.91913,                0.63292,                0.92653,                0.59999,                 1.1129,               0.006832,               0.006832,               0.006832
                     18,                0.97232,                0.63733,                 1.0775,                0.90651,                0.89927,                0.94537,                 0.6543,                0.90423,                0.52852,                 1.0963,               0.006634,               0.006634,               0.006634
                     19,                0.95644,                0.61788,                  1.073,                0.91912,                0.87536,                0.94177,                 0.6566,                0.90459,                0.53858,                 1.0952,               0.006436,               0.006436,               0.006436
                     20,                0.95351,                0.61043,                 1.0695,                0.90159,                0.87988,                0.93835,                0.66531,                0.89549,                0.47975,                 1.0902,               0.006238,               0.006238,               0.006238
                     21,                0.95202,                0.60484,                 1.0749,                0.90198,                0.90205,                0.94005,                0.67284,                0.89388,                0.50112,                  1.088,                0.00604,                0.00604,                0.00604
                     22,                0.94749,                0.59993,                  1.067,                0.90355,                0.86184,                  0.939,                0.63984,                0.95303,                0.52186,                 1.1233,               0.005842,               0.005842,               0.005842
                     23,                0.94139,                0.59097,                 1.0596,                0.89017,                0.89457,                0.93733,                0.66453,                0.90639,                0.49361,                 1.0895,               0.005644,               0.005644,               0.005644
                     24,                0.94669,                0.60211,                  1.071,                0.90902,                0.88784,                0.94273,                0.65405,                0.91924,                0.50304,                 1.0982,               0.005446,               0.005446,               0.005446
                     25,                0.93331,                0.57935,                 1.0559,                0.91047,                0.90623,                0.94521,                0.67654,                0.88068,                0.46176,                 1.0874,               0.005248,               0.005248,               0.005248
                     26,                0.92972,                0.58283,                  1.058,                0.90557,                 0.8933,                0.94172,                0.66121,                0.89037,                0.47133,                 1.0813,                0.00505,                0.00505,                0.00505
                     27,                0.93316,                0.58306,                 1.0557,                 0.9043,                0.89594,                0.93976,                0.68378,                0.89273,                0.46568,                 1.0903,               0.004852,               0.004852,               0.004852
                     28,                 0.9267,                0.57902,                 1.0567,                0.91721,                0.92194,                0.94517,                0.67885,                 0.8811,                0.46033,                  1.079,               0.004654,               0.004654,               0.004654
                     29,                0.91127,                0.56071,                 1.0437,                0.89658,                0.90972,                0.94551,                0.67129,                0.86484,                 0.4574,                 1.0615,               0.004456,               0.004456,               0.004456
                     30,                0.91368,                0.54934,                 1.0448,                 0.9374,                0.88841,                0.94766,                 0.6789,                0.89421,                0.45082,                 1.0786,               0.004258,               0.004258,               0.004258
                     31,                0.90587,                0.54398,                 1.0425,                0.92504,                0.90303,                0.94869,                0.67404,                0.87502,                0.44744,                 1.0692,                0.00406,                0.00406,                0.00406
                     32,                0.90889,                0.54284,                 1.0424,                0.88643,                0.91226,                0.94467,                0.67174,                0.87869,                0.47149,                 1.0724,               0.003862,               0.003862,               0.003862
                     33,                0.89742,                0.53436,                 1.0444,                0.92765,                0.91786,                0.95774,                0.69619,                0.83329,                0.41567,                  1.055,               0.003664,               0.003664,               0.003664
                     34,                0.89217,                0.52567,                 1.0307,                0.93359,                0.90219,                0.95196,                0.69419,                0.87177,                0.42459,                 1.0469,               0.003466,               0.003466,               0.003466
                     35,                0.90904,                0.51929,                  1.038,                0.91206,                0.92485,                0.94943,                0.68677,                0.85216,                0.43228,                 1.0482,               0.003268,               0.003268,               0.003268
                     36,                0.88118,                0.51339,                 1.0292,                0.93731,                0.88971,                0.95364,                0.68867,                0.86332,                0.43386,                 1.0545,                0.00307,                0.00307,                0.00307
                     37,                0.88727,                 0.5059,                 1.0259,                0.91755,                0.94011,                0.95186,                0.69204,                0.83098,                0.41173,                 1.0438,               0.002872,               0.002872,               0.002872
                     38,                0.87655,                0.50222,                 1.0244,                0.94209,                 0.9037,                0.95704,                0.70331,                0.84071,                0.40323,                 1.0523,               0.002674,               0.002674,               0.002674
                     39,                0.87494,                0.49216,                 1.0218,                 0.9077,                 0.9297,                0.95434,                0.69247,                 0.8527,                0.41579,                 1.0493,               0.002476,               0.002476,               0.002476
                     40,                0.87377,                0.49217,                 1.0212,                0.91468,                0.91885,                0.95504,                0.68471,                0.84885,                0.40767,                 1.0393,               0.002278,               0.002278,               0.002278
                     41,                0.86183,                0.43864,                 1.0563,                0.92983,                0.92295,                0.95332,                0.69611,                0.85898,                0.40476,                 1.0599,                0.00208,                0.00208,                0.00208
                     42,                0.85549,                0.42717,                 1.0538,                0.93297,                0.90882,                0.95345,                0.69941,                0.83017,                0.40403,                 1.0514,               0.001882,               0.001882,               0.001882
                     43,                0.85115,                0.41859,                   1.05,                0.93026,                0.92661,                0.95424,                0.70014,                0.84322,                0.41162,                 1.0535,               0.001684,               0.001684,               0.001684
                     44,                0.84022,                 0.4098,                 1.0384,                0.92876,                0.92584,                0.94768,                0.69814,                0.83246,                0.39471,                 1.0393,               0.001486,               0.001486,               0.001486
                     45,                0.82882,                0.39863,                 1.0305,                0.92202,                0.92601,                0.95951,                0.70925,                0.82622,                0.38335,                 1.0459,               0.001288,               0.001288,               0.001288
                     46,                0.82455,                0.38596,                 1.0277,                 0.9571,                0.90252,                0.96068,                0.71095,                0.82356,                 0.3755,                 1.0391,                0.00109,                0.00109,                0.00109
                     47,                0.81852,                0.38304,                 1.0233,                0.93013,                0.94564,                0.95921,                0.70641,                0.83556,                0.37364,                 1.0549,               0.000892,               0.000892,               0.000892
                     48,                0.80485,                0.37171,                 1.0138,                0.93252,                0.94428,                0.95704,                 0.7159,                0.83005,                0.36061,                   1.05,               0.000694,               0.000694,               0.000694
                     49,                0.80195,                0.36615,                 1.0115,                 0.9302,                0.93524,                0.95405,                0.71035,                0.82221,                0.36325,                 1.0486,               0.000496,               0.000496,               0.000496
                     50,                 0.7957,                0.35751,                 1.0059,                 0.9288,                0.94019,                0.96045,                0.71384,                0.81732,                0.35885,                 1.0434,               0.000298,               0.000298,               0.000298
